AUTHOR,BORN-DIED,TITLE,DATE,TECHNIQUE,LOCATION,URL,FORM,TYPE,SCHOOL,TIMEFRAME
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",Simo and his Former Slave Sosia,1803,"Oil on canvas, 158 x 142 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/html/a/abildgaa/andria2.html,painting,mythological,Danish,1751-1800
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",Culmin's Ghost Appears to his Mother,c. 1794,"Oil on canvas, 62 x 78 cm","Nationalmuseum, Stockholm",https://www.wga.hu/html/a/abildgaa/culmingh.html,painting,other,Danish,1751-1800
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",The Wounded Philoctetes,1775,"Oil on canvas, 123 x 178 cm","Statens Museum for Kunst, Copenhagen",https://www.wga.hu/html/a/abildgaa/philocte.html,painting,mythological,Danish,1751-1800
"ABILDGAARD, Nicolai","(b. 1743, København, d. 1809, Frederiksdal)",Adam and Eve,1780,Engraving,"Nationalmuseum, Stockholm",https://www.wga.hu/html/a/abildgaa/z_adamev.html,graphics,religious,Danish,1751-1800
"ABONDIO, Antonio","(b. 1538, Riva del Garda, d. 1591, Wien)",Medallion Portrait of Emperor Maximilian II,c. 1575,Wax on obsidian,"Kunsthistorisches Museum, Vienna",https://www.wga.hu/html/a/abondio/maximili.html,sculpture,portrait,Italian,1551-1600
"ACERO Y AREBO, Vicente","(b. ca. 1677, Cabárceno, d. 1739, Sevilla)",Exterior view,1722-1838,Photo,"Cathedral, Cádiz",https://www.wga.hu/html/a/acero/cadiz1.html,architecture,other,Spanish,1701-1750
"ACERO Y AREBO, Vicente","(b. ca. 1677, Cabárceno, d. 1739, Sevilla)",Exterior view,1722-1838,Photo,"Cathedral, Cádiz",https://www.wga.hu/html/a/acero/cadiz2.html,architecture,other,Spanish,1701-1750
"ACHENBACH, Oswald","(b. 1827, Düsseldorf, d. 1905, Düsseldorf)",Fireworks in Naples,1875,"Oil on canvas, 66 x 102 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/achenbac/firework.html,painting,landscape,German,1851-1900
"ADAM, Albrecht","(b. 1786, Nördlingen, d. 1862, München)",Battle of Moscow on 7 September 1812,1815-25,"Oil and gouache on paper, 21 x 30 cm","The Hermitage, St. Petersburg",https://www.wga.hu/html/a/adam1/battle.html,painting,historical,German,1801-1850
"ADAM, Albrecht","(b. 1786, Nördlingen, d. 1862, München)",The Return from the Hunt,1828,"Oil on canvas, 69 x 101 cm",Private collection,https://www.wga.hu/html/a/adam1/hunt.html,painting,genre,German,1801-1850
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Child Pinched by a Lobster,c. 1740,"Bronze, height 25,5 cm","Institute of Arts, Detroit",https://www.wga.hu/html/a/adam/lambert/child_lo.html,sculpture,other,French,1701-1750
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Neptune and Amphitrite,1740 (completed),Lead,"Bassin de Naptune, Versailles",https://www.wga.hu/html/a/adam/lambert/neptune.html,sculpture,mythological,French,1701-1750
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Neptune Calming the Waves,1737,Marble,"Musée du Louvre, Paris",https://www.wga.hu/html/a/adam/lambert/neptune1.html,sculpture,mythological,French,1701-1750
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Self-portrait,c. 1740,Drawing,"Ashmolean Museum, Oxford",https://www.wga.hu/html/a/adam/lambert/selfport.html,graphics,portrait,French,1701-1750
"ADAM, Lambert-Sigisbert","(b. 1700, Nancy, d. 1759, Nancy)",Head of 'Water',1737,Terracotta,"The Hermitage, St. Petersburg",https://www.wga.hu/html/a/adam/lambert/water.html,sculpture,other,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",The Martyrdom of Sainte Victoire,1747,Bronze,"Chapel of Château, Versailles",https://www.wga.hu/html/a/adam/nicolas/martyrdo.html,sculpture,religious,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Monument to Queen Catharina Opalinska,1749,Marble,"Notre-Dame de Bon Secours, Nancy",https://www.wga.hu/html/a/adam/nicolas/opalinsk.html,sculpture,religious,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Monument to Queen Catharina Opalinska (detail),1749 (set up),Marble,"Notre-Dame de Bon Secours, Nancy",https://www.wga.hu/html/a/adam/nicolas/opalinsx.html,sculpture,religious,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Prometheus,1737,"Marble, height 115 cm","Musée du Louvre, Paris",https://www.wga.hu/html/a/adam/nicolas/promethe.html,sculpture,mythological,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Prometheus,1737,"Marble, height 115 cm","Musée du Louvre, Paris",https://www.wga.hu/html/a/adam/nicolas/promethx.html,sculpture,mythological,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Monumental vase on the theme of autumn,1742-45,"Marble, height 177 cm","Metropolitan Museum of Art, New York",https://www.wga.hu/html/a/adam/nicolas/vase.html,sculpture,mythological,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Monumental vase on the theme of autumn (detail),1742-45,Marble,"Metropolitan Museum of Art, New York",https://www.wga.hu/html/a/adam/nicolas/vase1.html,sculpture,mythological,French,1701-1750
"ADAM, Nicolas-Sébastien","(b. 1705, Nancy, d. 1778, Paris)",Monumental vase on the theme of autumn (detail),1742-45,Marble,"Metropolitan Museum of Art, New York",https://www.wga.hu/html/a/adam/nicolas/vase2.html,sculpture,mythological,French,1701-1750
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Exterior view,1760s,Photo,"Kedleston Hall, Derbyshire",https://www.wga.hu/html/a/adam2/kedlesto.html,architecture,other,Scottish,1751-1800
